2026-01-25 02:02:01.734 | ERROR    | wallcat.main:load_config:38 - Arquivo de configuração não encontrado em: <red>D:\WORKS\DEV\python\wallcat\config.yaml</red>
2026-01-25 02:02:01.735 | WARNING  | wallcat.main:default_categories:27 - Usando categorias padrão (Natureza, Espaço, Tecnologia) pois o YAML não foi encontrado.
2026-01-25 02:02:01.735 | INFO     | wallcat.main:get_clip:21 - Carregando modelo CLIP no dispositivo: <yellow>CPU</yellow>
2026-01-25 02:02:04.592 | INFO     | wallcat.main:classify:95 - Fonte: <blue>C:\Users\helio\OneDrive\Imagens\Wallpapers</blue> | Destino: <blue>C:\Users\helio\OneDrive\Imagens\Wallpapers</blue>
2026-01-25 02:02:04.592 | INFO     | wallcat.main:classify:97 - <yellow>MODO DRY-RUN ATIVADO</yellow>
2026-01-25 02:02:05.066 | ERROR    | wallcat.main:classify:129 - Falha em 02547_BG.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.202 | ERROR    | wallcat.main:classify:129 - Falha em 1 - NLW #05 - 1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.291 | ERROR    | wallcat.main:classify:129 - Falha em 11151015020182.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.378 | ERROR    | wallcat.main:classify:129 - Falha em 11151046829183.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.462 | ERROR    | wallcat.main:classify:129 - Falha em 11151201553187.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.550 | ERROR    | wallcat.main:classify:129 - Falha em 11151224423188.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.632 | ERROR    | wallcat.main:classify:129 - Falha em 11151508614195.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.715 | ERROR    | wallcat.main:classify:129 - Falha em 11151918778214.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.806 | ERROR    | wallcat.main:classify:129 - Falha em 11151951023219.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:05.901 | ERROR    | wallcat.main:classify:129 - Falha em 11152048416224.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.034 | ERROR    | wallcat.main:classify:129 - Falha em 11152108400225.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.152 | ERROR    | wallcat.main:classify:129 - Falha em 11152145122231.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.240 | ERROR    | wallcat.main:classify:129 - Falha em 11152210816234.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.324 | ERROR    | wallcat.main:classify:129 - Falha em 11152242874238.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.405 | ERROR    | wallcat.main:classify:129 - Falha em 11152312889241.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.489 | ERROR    | wallcat.main:classify:129 - Falha em 11152354057246.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.570 | ERROR    | wallcat.main:classify:129 - Falha em 11152419345248.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.666 | ERROR    | wallcat.main:classify:129 - Falha em 112504_Papel-de-Parede-Transformers--112504_1920x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.758 | ERROR    | wallcat.main:classify:129 - Falha em 113690_Papel-de-Parede-Resident-Evil-3-A-Extincao-Resident-Evil-Extinction--113690_1280x1024.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.855 | ERROR    | wallcat.main:classify:129 - Falha em 120315_Papel-de-Parede-Escudo-pegando-fogo_1920x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:06.955 | ERROR    | wallcat.main:classify:129 - Falha em 12M2610155J50-94422.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.040 | ERROR    | wallcat.main:classify:129 - Falha em 143241_Papel-de-Parede-Transformers--143241_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.133 | ERROR    | wallcat.main:classify:129 - Falha em 144155_Papel-de-Parede-Transformers--144155_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.230 | ERROR    | wallcat.main:classify:129 - Falha em 144670_Papel-de-Parede-Homem-de-Ferro-Iron-Man--144670_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.354 | ERROR    | wallcat.main:classify:129 - Falha em 148142_Papel-de-Parede-Homem-de-Ferro-Iron-Man--148142_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.451 | ERROR    | wallcat.main:classify:129 - Falha em 195523_Papel-de-Parede-Need-For-Speed--195523_1400x1050.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.545 | ERROR    | wallcat.main:classify:129 - Falha em 2013-03-29 002.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.643 | ERROR    | wallcat.main:classify:129 - Falha em 2013-03-29 003.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:02:07.731 | ERROR    | wallcat.main:classify:129 - Falha em 2013-04-20 004.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:51.184 | ERROR    | wallcat.main:load_config:38 - Arquivo de configuração não encontrado em: <red>D:\WORKS\DEV\python\wallcat\config.yaml</red>
2026-01-25 02:08:51.185 | WARNING  | wallcat.main:default_categories:27 - Usando categorias padrão (Natureza, Espaço, Tecnologia) pois o YAML não foi encontrado.
2026-01-25 02:08:51.185 | INFO     | wallcat.main:get_clip:21 - Carregando modelo CLIP no dispositivo: <yellow>CPU</yellow>
2026-01-25 02:08:54.135 | INFO     | wallcat.main:classify:95 - Fonte: <blue>C:\Users\helio\OneDrive\Imagens\Wallpapers</blue> | Destino: <blue>C:\Users\helio\OneDrive\Imagens\Wallpapers</blue>
2026-01-25 02:08:54.135 | INFO     | wallcat.main:classify:97 - <yellow>MODO DRY-RUN ATIVADO</yellow>
2026-01-25 02:08:54.266 | ERROR    | wallcat.main:classify:129 - Falha em 02547_BG.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.405 | ERROR    | wallcat.main:classify:129 - Falha em 1 - NLW #05 - 1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.498 | ERROR    | wallcat.main:classify:129 - Falha em 11151015020182.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.592 | ERROR    | wallcat.main:classify:129 - Falha em 11151046829183.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.683 | ERROR    | wallcat.main:classify:129 - Falha em 11151201553187.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.777 | ERROR    | wallcat.main:classify:129 - Falha em 11151224423188.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.866 | ERROR    | wallcat.main:classify:129 - Falha em 11151508614195.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.084 | ERROR    | wallcat.main:classify:129 - Falha em 11151918778214.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.262 | ERROR    | wallcat.main:classify:129 - Falha em 11151951023219.jpg: attempt to get argmax of an empty sequence
